nt-1	bangkok
nt-4	derby county
nt-5	four
nt-6	Varbergs GIF (D3)
nt-7	lake palas tuzla
nt-10	5
nt-11	bangkok
nt-12	6
nt-13	1999-2000
nt-16	29+29 = 58
nt-17	abbott
nt-18	24
nt-19	3
nt-20	the sound of trees
nt-21	km-45 series
nt-22	toia
nt-23	united states
nt-25	three
nt-26	málaga cf
nt-27	30
nt-28	windows
nt-30	10.611
nt-31	6
nt-32	jiang qing
nt-33	lyra
nt-35	marisela moreno montero
nt-36	princeton
nt-37	5
nt-38	two
nt-39	8
nt-41	1995
nt-42	459640
nt-43	langney sports
nt-44	1991 - 1990 = 1
nt-45	Arunthathi
nt-47	frank mir
nt-48	0/630
nt-49	2
nt-50	vietnam
nt-51	5
nt-52	rc toulonnais
nt-54	no
nt-55	1987
nt-56	eddie murray
nt-57	2
nt-58	13
nt-59	surf's up
nt-60	2
nt-61	36
nt-62	vijayendra prasad
nt-63	yes
nt-65	josip skoko with 6 international caps
nt-66	the name of the game
nt-70	1
nt-71	may
nt-72	0
nt-73	27
nt-74	jim clark
nt-75	12
nt-76	20,000
nt-77	two
nt-78	1996
nt-79	6
nt-80	less
nt-81	ford
nt-82	2
nt-83	none
nt-85	george burley
nt-86	serbian progressive party
nt-88	never
nt-89	5
nt-90	stapleton
nt-91	6
nt-93	1
nt-95	5000m
nt-96	
nt-97	1220 mm
nt-98	7
nt-99	6
nt-100	9
nt-101	england
nt-102	Überlingen
nt-103	2:37.70
nt-105	29
nt-106	tom bradshaw
nt-108	13
nt-109	119
nt-110	baroque
nt-112	Abu al-Duhur Military Airbase
nt-113	dartmouth college
nt-114	Doña Ana
nt-115	iryina herashchenko
nt-117	1980
nt-118	conservatives
nt-119	2
nt-120	bahrain
nt-121	tensile modulus
nt-122	2007
nt-123	tikamgarh
nt-126	western michigan and north dakota
nt-127	ue lleida
nt-128	usain bolt
nt-129	2003
nt-131	week 11
nt-133	1
nt-134	n
nt-135	5000
nt-136	22
nt-137	libya
nt-138	italy
nt-139	july 28
nt-140	black reel awards
nt-141	18
nt-142	montreal wanderers
nt-143	clara jennifer chiong estrada
nt-144	11th
nt-145	29
nt-146	3
nt-147	3
nt-149	no. 774
nt-150	
nt-151	seville
nt-153	10
nt-154	pan troglodytes and nomascus leucogenys
nt-155	ter 2006
nt-156	2
nt-157	lake van
nt-161	6th
nt-162	2
nt-163	vokhid shodiev
nt-164	1077
nt-165	
nt-166	3:02.57
nt-167	bl26
nt-168	1995
nt-171	1
nt-172	27
nt-173	1991
nt-174	26
nt-175	sam snead
nt-176	1:20:00
nt-179	d7
nt-181	ethiopia
nt-182	7
nt-183	diamond
nt-184	december
nt-185	17
nt-186	1993 + 1999 + 2003 = 4
nt-187	tom kiley
nt-188	gunbird special edition / gunbird 1&2
nt-189	Nikao, Cook Islands
nt-190	james lee goddard, m.d.
nt-192	2
nt-193	6
nt-194	iron man 3
nt-196	1976
nt-197	frozen
nt-198	amc
nt-199	1
nt-200	30
nt-201	missoula and park
nt-202	sanuki
nt-203	nezir jaupaj
nt-204	5
nt-205	0
nt-207	harvard mark i – ibm ascc
nt-209	slow motion orchestra
nt-210	3
nt-211	quarter-final
nt-213	amplitan
nt-214	sweden democrats
nt-215	chicago
nt-216	you're gettin' to me again
nt-217	château de pouancé
nt-218	2nd
nt-220	myron greenberg
nt-221	dani sordo, marc marti
nt-222	united states lightship lv-72
nt-223	1998
nt-224	cornell university
nt-225	ciudad capital
nt-226	december 21
nt-228	39
nt-229	t.v. sivaraopantulu
nt-230	Dario Cologna ranked 1st, Johan Olsson ranked 2nd, and Daniel Richardsson ranked 3rd. Lukas Bauer ranked 5th.
nt-231	none
nt-232	3
nt-233	124
nt-234	guizhou olympic stadium
nt-235	wit georgia
nt-236	j gamble
nt-237	5
nt-238	no
nt-240	first canadian place
nt-242	row24
nt-243	2.8
nt-244	2
nt-245	natasha 'nat' wilson
nt-246	russia
nt-247	9 years
nt-249	7
nt-251	33
nt-252	1
nt-253	3
nt-254	dublin, rte studios
nt-256	1
nt-257	herogasm
nt-258	one
nt-259	"""Cheat on You"""
nt-261	episode ten
nt-263	25.5
nt-265	11th
nt-266	garcía, rodríguez
nt-268	28 february 2012
nt-269	leeds united
nt-271	1911
nt-272	mercedes-benz e320 bluetec
nt-273	al-21 and al-31
nt-274	10
nt-275	14
nt-276	There are no films directed by Sridhar after 1961.
nt-277	9
nt-278	2
nt-279	13
nt-280	30
nt-282	natasza urbańska
nt-285	jean-philippe ruggia
nt-286	operational
nt-287	1
nt-288	
nt-289	tampa bay buccaneers
nt-290	hispanic only
nt-291	three
nt-293	john mack
nt-294	14
nt-295	2
nt-296	world championships
nt-297	drama desk and tony
nt-298	8
nt-299	away
nt-301	115
nt-302	4
nt-303	9
nt-304	17
nt-306	less
nt-307	14
nt-309	shot put
nt-310	two
nt-311	1920
nt-313	ligia grozav
nt-314	one
nt-316	will.i.am
nt-317	february 2012 had more total votes
nt-318	17 weeks
nt-319	2
nt-321	none
nt-322	
nt-323	Kevin Grimes served as a defender for Virginia in 1988 and 1989.
nt-324	1968
nt-325	wayne gretzky
nt-326	65
nt-328	8
nt-329	katja saarinen
nt-331	chuck thompson
nt-334	increased
nt-335	bayern munich, borussia dortmund
